category;title;subtitle;AB_Testing;Advocacy;AIDA;Alleinstellungsmerkmal_USP;Attributionsmodelle;Awareness;Bezahlsysteme;bounce rate;Buyer persona;Chatbot;click last;click first;click & collect;CI;CLV (Customer Lifetime Value);Consideration ;Contentstrategie;Conversions_Kaufabschluss;conversions rate;CRM (Kundenbindung);Customer Experience;Customer Journey;Customer Journey Map;Datenanalyse;Datenschutz;Datentracking;Design;E-Mail-Marketing;E-Mail Software;google ads;heatmap;Influencer;Informationspflichten;Informationsrechte;Kaufabbruch;Kennzahlen;key performance indicator KPI;keywords;Kundengewinnung;Kundenkommunikation;Kundenverhalten;Kundenvertrauen;Kundenzufriedenheit;Leadgenerierung;Livestream Shopping;Marke / Brand;Marketingbudget;Marketingkampagne;Marketingstrategie;Marketingtools;Moment of Truth;On Page Optimierung;Off Page Optimierung;Optimierung;PDCA Zyklus;Personalisierung;Purchase;Retention;Retourenrate;SEA;SEM;SEO;Shop Software;Social Media;Vertriebskanaele;Testing;Touchpoint;Werbung;Zielgruppensegmen-tierung
3;Social-Media;Social Commerce (Produktverlinkung in Social Media);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Social-Media;Wie funktioniert Livestream-Shopping?;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;1;;;;;;;1;;;;;;1;1;;;1;;;;;;;;;;;;;;;1;;;1;;1
3;Social-Media;Wie kann ich mein Markenprofil durch Social Media-Content schaerfen?;;;;1;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;;1
3;Onlineshopping;Cross-Border-Retail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Kommunikation;Personalisierte Kommunikation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Zahlungsverfahren;Auswahl Payment-Service-Provider;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Performancemessung;Retail Analytics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Performancemessung;Wie hole ich zielfuehrend Kundenfeedback ein?;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;1;;;;;;;1;;;;;;1
3;Services;Wie kann die Einfuehrung eines Click & Collect;;;;;;;1;;;;;;1;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;;1;;;;;;1
3;Services;Live-Cbat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Services;Rueckruffunktion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Customer Journey im E-Commerce;Customer Journey und Customer Experience (als Ausblick?)+C46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Customer Journey im E-Commerce;Wie ergaenzen sich Customer Journey und Sales Funnel? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
